property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type
flat,maa bhagwati residency,krishna colony,0.45,5000.0,2.0,2.0,1,4  ,relativelt new,1000.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,apna enclave,ashok vihar,0.5,7692.0,2.0,2.0,1,1  ,old property,722.0,0.0,0.0,0.0,0.0,0.0,0.0
flat,tulsiani easy in homes,sohna,0.4,6722.0,2.0,2.0,3,12  ,new Property,661.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,smart world orchard,sector 61,1.47,12250.0,2.0,2.0,2,2  ,under construction,1333.0,1.0,0.0,0.0,0.0,0.0,2.0
flat,parkwood westend,sector 92,0.7,5204.0,2.0,2.0,3,5  ,under construction,1217.0,1.0,0.0,0.0,0.0,0.0,2.0
flat,signature global infinity mall,sector 36,0.41,6269.0,2.0,2.0,3,3  ,undefined,654.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,the cocoon,dwarka expressway,2.0,13333.0,3.0,3.0,3,5  ,new Property,1357.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,ats triumph,sector 104,1.8,7860.0,3.0,4.0,3,14  ,new Property,2544.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,vatika xpressions,sector 88b,1.1,8148.0,2.0,4.0,3,2  ,under construction,1350.0,1.0,0.0,0.0,0.0,0.0,2.0
flat,raheja revanta,sector 78,4.75,16885.0,3.0,3.0,2,31  ,under construction,2813.0,0.0,1.0,0.0,0.0,0.0,2.0
flat,signature global city 81,sector 81,0.96,9767.0,2.0,2.0,2,1  ,under construction,1194.0,0.0,0.0,0.0,0.0,0.0,2.0
flat,hcbs sports ville,sohna,0.29,5587.0,2.0,2.0,1,4  ,relativelt new,577.0,0.0,0.0,0.0,0.0,0.0,2.0
