property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type
flat,maa bhagwati residency,krishna colony,0.45,5000.0,2,2,1,4  ,relativelt new,1895.9498700623699,1600.0,900.0,0,0,0,0,0,2
flat,apna enclave,ashok vihar,0.5,7692.0,2,2,1,1  ,old property,1895.9498700623699,1600.0,650.0,0,0,0,0,0,0
flat,tulsiani easy in homes,sohna,0.4,6722.0,2,2,3,12  ,new Property,1895.9498700623699,1600.0,595.0,0,0,0,0,0,2
flat,smart world orchard,sector 61,1.47,12250.0,2,2,2,2  ,under construction,1895.9498700623699,1600.0,1200.0,1,0,0,0,0,2
flat,parkwood westend,sector 92,0.7,5204.0,2,2,3,5  ,under construction,1345.0,1600.0,1254.0,1,0,0,0,0,2
flat,signature global infinity mall,sector 36,0.41,6269.0,2,2,3,3  ,undefined,1895.9498700623699,654.0,1254.0,0,0,0,0,0,2
flat,the cocoon,dwarka expressway,2.0,13333.0,3,3,3,5  ,new Property,1500.0,1600.0,1254.0,0,0,0,0,0,2
flat,ats triumph,sector 104,1.8,7860.0,3,4,3,14  ,new Property,1895.9498700623699,1600.0,2290.0,0,0,0,0,0,2
flat,vatika xpressions,sector 88b,1.1,8148.0,2,4,3,2  ,under construction,1895.9498700623699,1350.0,1050.0,1,0,0,0,0,2
flat,raheja revanta,sector 78,4.75,16885.0,3,3,2,31  ,under construction,1895.9498700623699,2813.0,1254.0,0,1,0,0,0,2
flat,signature global city 81,sector 81,0.96,9767.0,2,2,2,1  ,under construction,1895.9498700623699,1600.0,1075.0,0,0,0,0,0,2
flat,hcbs sports ville,sohna,0.29,5587.0,2,2,1,4  ,relativelt new,1895.9498700623699,1600.0,519.0,0,0,0,0,0,2
flat,supertech araville,sector 79,1.35,6940.0,3,3,3,4  ,relativelt new,1895.9498700623699,1600.0,1945.0,0,0,0,0,0,2
